t,roll,pitch,yaw
1717604562.8091743,0.0023212692312544496,0.0008473229455951869,0.0015172413891749467
1717604562.8328161,0.0050370250511961685,0.0015118099122856657,0.0018772566314903653
1717604562.850684,0.006897720749854508,0.0018171828842404813,0.0016307588498036922
1717604562.8627331,0.008393636900499588,0.002686645866384117,0.002282545282977907
1717604562.8689313,0.00991699722253403,0.003688112676725767,0.00493003106547662
1717604562.886579,0.011462312882007124,0.005008028133160794,0.007897004384498117
1717604562.8986373,0.013876573649422155,0.00636985692830537,0.010374609096079668
1717604562.8990054,0.01624103228053624,0.007765216394917231,0.012567141567157826
1717604562.9166906,0.018246381387867397,0.009187400399102635,0.013467389683045911
1717604562.9408717,0.020283710686039777,0.010418198824234327,0.01418519150963503
1717604562.9526706,0.022027356323117888,0.011708733993273875,0.014650613697893887
1717604562.9646745,0.024068168051400406,0.013259904140113186,0.016404049430130387
1717604562.9650974,0.02634671265618894,0.015019582272299315,0.01918789601290332
1717604562.9946628,0.02870902096030013,0.016839644190532348,0.02119973133288998
1717604563.0070186,0.03124476282958414,0.018282322346929055,0.02312607093642211
1717604563.0377433,0.03242933434198958,0.02048732028157762,0.023813364755100104
1717604563.0487077,0.03317150518108192,0.021599411254869545,0.023828689838404957
1717604563.054892,0.03377260143074034,0.022794980461022178,0.023838553228378388
1717604563.0666857,0.033409456424382526,0.024376600441136036,0.02480185126486057
1717604563.0846636,0.033658413008085246,0.026586328859169436,0.02588936102908958
1717604563.103547,0.03407778305698472,0.028340740220051626,0.026863394874432196
1717604563.1035824,0.03463348388007309,0.029837320534501204,0.02678884407520621
1717604563.1213615,0.03476613555549889,0.031127636008731106,0.02640753875767056
1717604563.1389592,0.03477319311718381,0.033317166400546085,0.02471660321587522
1717604563.1506507,0.03531831175973388,0.03484257413078043,0.024319262086667286
1717604563.1625626,0.03608103406395792,0.03626237414269796,0.025169641828797766
1717604563.1747336,0.03680499409068286,0.03866191477092277,0.026273239654047747
1717604563.1926985,0.03739152169023027,0.041206711903046825,0.0274729892509635
1717604563.2045887,0.03893232939355895,0.044186982054170355,0.028004701660815926
1717604563.2051198,0.03974664398020423,0.0468770946248587,0.02736344831222807
1717604563.217071,0.039766918855409984,0.05018646271052731,0.026954471646708722
1717604563.2408283,0.03957765237086308,0.05367196702888472,0.027795542959651368
1717604563.2587593,0.04039140219295196,0.05655342172995071,0.029104539344004695
1717604563.2707188,0.04158187465344171,0.05916448193941505,0.029936494487674086
1717604563.271053,0.04328657043857535,0.0613463813429424,0.030173971330544974
1717604563.2946322,0.04476410926125718,0.06403633330686248,0.029084484129167483
1717604563.3015041,0.04584707655677923,0.06723915030239841,0.027678384375247066
1717604563.3072202,0.04746576820865715,0.07042656853794715,0.026976798576756996
1717604563.3367696,0.04898092632842531,0.07392093557947108,0.027051669253574242
1717604563.3486803,0.050838948040136084,0.07723517125056961,0.028386241120719427
1717604563.3605409,0.052651992815339714,0.08051172442789666,0.02966434730262248
1717604563.3668387,0.05410978822665298,0.08333244081836362,0.02972663158528899
1717604563.3851209,0.05517696079284483,0.08610775596058605,0.029454794334898542
1717604563.396748,0.05614448103277334,0.08959170870921378,0.029128505249776327
1717604563.397091,0.05724512461993556,0.09470679834363305,0.029290767999197165
1717604563.4208307,0.05834584428175554,0.09921118950365222,0.030482408187977837
1717604563.439049,0.05976589261745112,0.10322702187687122,0.0319654370258984
1717604563.4509835,0.06027075449911802,0.106213471214,0.033468731437473795
1717604563.4627209,0.0603627350208006,0.10858925931941772,0.03371116630656263
1717604563.46849,0.06086936942764498,0.1116471678291228,0.0332641815270446
1717604563.4925985,0.06128203652869723,0.11514435006567311,0.03364915569663992
1717604563.505087,0.0626837558311572,0.11867368310225863,0.03608319166509486
1717604563.5052798,0.06477029430181762,0.12212231417453943,0.038985827793260645
1717604563.522778,0.06708542030105358,0.12539996106969825,0.04162480805395525
1717604563.528954,0.06937057111644263,0.1287536658305535,0.04192441040561956
1717604563.55269,0.07109962801575793,0.13142325827933043,0.041203891612430404
1717604563.570968,0.0723838097755851,0.1340776742663993,0.04094434789284968
1717604563.5711572,0.07448274081545428,0.13725206248003063,0.0406278936325218
1717604563.6006048,0.07563713147326913,0.14094885108582664,0.04090444689317763
1717604563.6010451,0.07720653921111657,0.1450635600115819,0.041123292828145926
1717604563.6069987,0.07942722843208597,0.14823553319663457,0.042466622228962914
1717604563.618999,0.08153040721901983,0.150759740382603,0.04428384776416845
1717604563.6487453,0.08300746388868556,0.15340427076240812,0.045522386234578174
1717604563.6549196,0.08409004546178898,0.15550652369789092,0.045872284347991336
1717604563.672789,0.08506989290743044,0.15791991327699356,0.04636265151517054
1717604563.6731017,0.08596755304987766,0.16058221217470114,0.047923197904993046
1717604563.6966283,0.08722515376765436,0.16461428792719573,0.04959492905686249
1717604563.7209582,0.08919639736885013,0.16889080396959064,0.0511427626705642
1717604563.7448246,0.09141928747113995,0.1724050680593162,0.05269790090353704
1717604563.7565908,0.09331138175372407,0.1743517267628451,0.0525561202252327
1717604563.7690375,0.09483241677188407,0.17632137314038132,0.052865989702307346
1717604563.7806704,0.09648229479294605,0.17884152268097825,0.0542821379378945
1717604563.7809985,0.09823524721786554,0.1816956521538701,0.056370463867631886
1717604563.7931058,0.10049634958596443,0.18577476976408275,0.05846441865772486
1717604563.8050144,0.10295112670523214,0.1896632285018192,0.059498649837081974
1717604563.8230639,0.10481588464967248,0.19297346934790816,0.05936583411480452
1717604563.841041,0.1073792766441532,0.19560829066435392,0.058725071555568546
