t,roll,pitch,yaw
1717604564.7649002,1.452316085901387,0.0044527950590435034,3.1336815808857184
1717604564.7767324,1.4523011088892386,0.00230622394159456,3.1351819867341084
1717604564.7886117,1.4522967318097968,0.00024752424615055095,3.13679629411035
1717604564.806783,1.4523056235280962,0.0026916131843468883,3.1354995477229517
1717604564.8071334,1.4523256657505585,0.00011073604375568921,3.1360646402417744
1717604564.8309596,1.4523454811928134,0.0024234239479897887,3.13651804215314
1717604564.8427389,1.452353082647692,-0.0001293921566130756,3.135837235740399
1717604564.8431664,1.452354846830659,0.002370378787427046,3.136444137075605
1717604564.872625,1.452343735002187,0.004493878258828888,3.134962027845597
1717604564.8845046,1.4523489664606222,0.0024710244392143017,3.1366329184330923
1717604564.8907008,1.4523566170812636,0.004455885969535438,3.1349823296590738
1717604564.8973846,1.452375227263153,0.0020573823970313045,3.136092094973649
1717604564.9090118,1.4523875828675608,-0.00032527695544730926,3.1349227719698067
1717604564.9325294,1.452399659682026,0.0023733115992703446,3.1354383440371634
1717604564.9386063,1.4524069405973066,-5.098928411302497e-06,3.134875585844975
1717604564.962969,1.452400135872521,0.0020929511655123664,3.1363269540373997
1717604564.974663,1.452383883382188,0.0011966744732238906,3.1338483411683016
1717604564.9867303,1.452383813987457,0.0021449509826802445,3.1362316629761158
1717604564.9925213,1.4523911732706443,-0.00046469505919264254,3.1357917915508393
1717604564.9989522,1.4524163648138297,0.0021758790826899234,3.136581335708073
1717604565.010952,1.4524415560863044,-0.0004629506435062372,3.1365963567563644
1717604565.04086,1.4524558266379861,0.0018732588514422262,3.1360992785629356
1717604565.0411556,1.4524590306006409,0.0021717647256841283,3.133490452297757
1717604565.0648417,1.452468179217032,0.002361173340400887,3.136266327528798
1717604565.0767133,1.4524711941359159,0.00473197360269384,3.136559725237219
1717604565.0886326,1.4524715541615396,0.002138642897091408,3.136132727156809
1717604565.0951257,1.4524778596908776,0.0028409904126676976,3.1336162730000097
1717604565.1070023,1.452515576596469,0.0010773509465465813,3.135815476191831
1717604565.131063,1.4525471838883606,0.0011374148340582851,3.133396213746659
1717604565.1427026,1.4525712831181374,6.481843091292739e-05,3.1357556407153524
1717604565.1431162,1.452576470590187,0.0017663351103108151,3.1337790688238543
1717604565.1668043,1.4525850829808848,0.0038239026923888803,3.1353354927136956
1717604565.172957,1.45259158028852,0.0013818703314608665,3.1343557527308192
1717604565.1966827,1.4526091885479737,0.003536580086966173,3.1357466604196294
1717604565.1970572,1.4526348891772083,0.0009094719935256617,3.135953387432837
1717604565.2090175,1.4526694908529543,0.003255049121729762,3.1348970722140286
1717604565.2268834,1.4527109284279003,0.0006549210805078631,3.135344808902321
1717604565.2447555,1.4527352169113512,0.0027454543994254055,3.1335065959561885
1717604565.2506204,1.4527443620868923,0.0005662920357049901,3.1345729334525467
1717604565.2746315,1.4527601808063817,0.0026174645596430002,3.1361134531239747
1717604565.2867074,1.4527832841923356,0.0006320645840853089,3.1340901702347885
1717604565.298639,1.45281516645019,0.0012082278442045924,3.1364039254972016
1717604565.2991855,1.4528550039986625,0.0036093028644126474,3.1377582233640404
1717604565.3111398,1.452873223448832,0.0014773591631024468,3.1365766868957805
1717604565.3407037,1.4528892024431395,0.003892260308111626,3.1356776905964665
1717604565.3525012,1.4529034210711853,0.0012862048865233612,3.1360201045442957
1717604565.364799,1.4529194457887675,0.003312032895164911,3.134105156799053
1717604565.37672,1.4529551228300317,0.002337250366120257,3.136301276913459
1717604565.3886974,1.4530007869063974,-0.00018688457210556467,3.137042399243599
1717604565.4007494,1.453041625448686,0.0023351659735265373,3.1365478794639694
1717604565.4064944,1.4530738690381486,0.00025063344326394074,3.138433672373063
1717604565.43078,1.4530862247486636,0.0011656520564658002,3.13620483367226
1717604565.44279,1.4530919434333636,0.0037268008460416948,3.1364106398203084
1717604565.448688,1.4530782338458925,0.0028920146446824785,3.1339192653535823
1717604565.4666426,1.453099377340945,0.004475802404182808,3.1359327391049727
1717604565.478525,1.4531232892194728,0.0022374750239779395,3.1373018518768383
1717604565.4968743,1.453145048821391,0.003872498341294143,3.135304714944188
1717604565.4971764,1.4531675911133397,0.00235278749459154,3.1376835524798943
1717604565.5090873,1.453161580967919,0.0027876569478878202,3.135321243552676
1717604565.5325768,1.453162278570357,0.0002065833607659046,3.13473120418949
1717604565.544609,1.4531835219776943,0.001389485580614507,3.137240322858745
1717604565.550628,1.4532014492271839,0.0010307971302834595,3.1348442164635593
1717604565.574782,1.45323307841544,0.002326771361833387,3.137053887699406
1717604565.5866306,1.4532540343002787,0.0011334580351257187,3.1347059530448367
1717604565.59296,1.453281837132269,0.0036705735894343302,3.135048824509085
1717604565.599042,1.4533011669205387,0.0008543017968080018,3.1352999033135296
1717604565.6109827,1.4533009449295775,0.0025857020037741347,3.1336536809536057
1717604565.6347306,1.4533040594199311,0.0009180145286592078,3.135671231214958
1717604565.6405919,1.4533046942132166,0.0028767523595801974,3.1339948021352444
1717604565.6530743,1.4533179942795105,0.0004597471543540817,3.1350359381722566
1717604565.6766443,1.4533411742011593,0.0030036647950239044,3.1350933816884745
1717604565.6895928,1.4533668665316233,0.0003577982010138228,3.1352270352843163
1717604565.694822,1.4533846027578443,0.0027834413329645125,3.13441544101797
1717604565.7190442,1.4534040924513432,-0.0034563291511696946,3.1352590335405393
1717604565.7486458,1.4533956657148581,-0.0009974591969571897,3.1344976348696765
1717604565.7552142,1.4533753423082383,0.0014915116394529722,3.1351170777957016
1717604565.772831,1.4533551600790124,-0.0009662411041329434,3.1360567490315248
1717604565.7846098,1.4533456277378791,0.0015734681548727892,3.1357912463045325
1717604565.7968078,1.4533471035146694,0.0041111257563761485,3.135527793064779
1717604565.797068,1.4533553921974705,0.0012870671310426347,3.1351031657956243
1717604565.8090086,1.4533642937917628,0.0008096996601649442,3.1374437631386165
1717604565.8388085,1.4533675710478873,0.0008437229168752521,3.134827813631427
1717604565.8506153,1.4533550124760466,0.002778206006515447,3.1330988018815034
1717604565.851045,1.4533562519555039,0.00044583567513755643,3.134262389709585
1717604565.8746622,1.453351103211817,0.002440921820795403,3.1358954055833257
1717604565.8871891,1.4533547395572883,0.0012043572394199718,3.1335730457325006
1717604565.9050155,1.453390416048634,0.0011069187041754466,3.136150821360165
1717604565.9052289,1.4534290398676741,-0.0011488183964999423,3.134408754753165
1717604565.9170237,1.4534704579255586,0.000591112674526014,3.1359947916205226
1717604565.940708,1.4535060880233426,-0.0017387337577698778,3.1347248376827257
1717604565.9588416,1.4535340303870399,0.0008218888630684172,3.1346246633247508
1717604565.9591002,1.4535538821904366,-0.0020218253551599254,3.1343922443797605
1717604565.982693,1.453569762263672,0.0003214055191703878,3.134609527612769
1717604565.9947221,1.4535987686174143,-0.0014425697311388733,3.1326113319631017
1717604565.9950187,1.4536405452198342,0.0009771217287780868,3.1338540519789033
1717604566.0127146,1.4536929822846694,0.0015007246643247273,3.136351623949279
1717604566.0307508,1.4537327945274983,0.0004136292178777847,3.133927159634003
1717604566.0427542,1.453770743974329,-8.408665584523114e-05,3.1362435834406823
1717604566.0548704,1.4537982436333499,0.0007082299000769737,3.133736610012533
1717604566.0726304,1.453809940485365,0.001769470508132049,3.1360601328872586
1717604566.078855,1.4538125281982686,-0.0007870369422525409,3.1354119511632206
1717604566.0968018,1.453815226859159,0.001276825356902536,3.136916740893928
1717604566.09717,1.4538216000417625,-0.0010854981075929158,3.135309881540864
1717604566.109113,1.4538311458497117,0.0009754305643080418,3.1364645335472385
1717604566.1267273,1.4538521640674746,-0.0014669540194357572,3.13544498409101
1717604566.1506557,1.4538855822052086,-0.004105809635586854,3.1353678472732494
1717604566.1570249,1.453917983002141,-0.0015733523701901304,3.135752493249989
1717604566.1747427,1.4539530255413597,0.0009890317449893972,3.1359106476547978
1717604566.186584,1.4539716788162866,0.0027299149658960714,3.133726105390852
1717604566.1986449,1.4539912997294684,0.0013161414060449891,3.1356697690893447
1717604566.1990113,1.4540148997970652,-0.0013710712468181054,3.13474274064753
1717604566.2170732,1.4540398565021952,0.0009072356536141776,3.135365774243569
1717604566.2407076,1.4540895608244353,-0.0017171731097543241,3.134973400194914
1717604566.2465293,1.4541440912631527,0.000796924685252783,3.1354509773848696
1717604566.25326,1.4542014170408601,0.003360094856604776,3.1352750701426606
1717604566.2766829,1.4542652119187303,0.002228788934856516,3.1375929567960346
1717604566.2947972,1.4542863483794233,0.003328193127068084,3.135223923422671
1717604566.306751,1.454308894080329,0.001943250811756199,3.1374291697286343
1717604566.3126984,1.454318855791818,0.002263571843511098,3.1346284458167726
